ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,The four of them gathered in Trapezoid Man’s room.,res\\image\\hoshiman00.png,,,
2,"""This thing here... I think it might be copper ore.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,Star Man showed it to Trapezoid Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,"""You think so...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""I’ve seen it in a game before. If you smelt it, it turns into copper—at least in that game.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,Triangle Man said.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,"""If we smelt this, do you think it’ll turn into copper?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"""I doubt we can get it hot enough. A campfire probably won’t work.
Maybe we can melt it with magic?""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
9,Triangle Man said.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
10,"""Got it. I’ll try it later.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
11,"""I think you need to build something like a chimney and blow air from underneath.
I saw a video like that once.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
12,Rectangle Man said.,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
13,"""Yeah, I might’ve seen that too.
But we don’t really need that to build a boat, do we?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,"""It’s not necessary for the boat itself,
but it could help with processing wood.
Also, if we can make a pot, it might help us survive longer while sailing.
And right now, we need weapons to move safely through the forest.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"""Yeah, good point. Don’t you usually make that kind of stuff out of bronze?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,"""I think so. Does anyone know the difference between bronze and copper?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
