ID,オプション1,オプション2,オプション3,,
1,ホシマンたちは廃墟にやってきた。,,,,
2,「お邪魔する。ホシマンだ」,res\\image\\hoshiman00.png,,,
3,ホシマンたちはダイケイマンの部屋に歩いて行った。,,,,
4,「ごめんください」,res\\image\\shikakuman00.png,,,
5,部屋の中から、物音がした。,,,,
6,「お、おーう」,,,,
7,"部屋をのぞくとダイケイマンが起き上がったところだった。
歯を食いしばっていて痛そうだった。",res\\image\\daikeiman00.png,,,
8,「横になってていい」,res\\image\\hoshiman00.png,,,
9,「いや、いい。」,res\\image\\daikeiman00.png,,,
10,"「・・・。
　この子たちが前に話した子供たちだ」",res\\image\\hoshiman00.png,,,
11,「よ、よろしく・・・」,res\\image\\daikeiman00.png,,,
12,"「よろしくお願いします」
「よろしくお願いします」",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
13,「よかったらどうぞ」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
14,ホシマンたちはココナッツの実をダイケイマンに渡した。,,,,
15,「はい、どうもどうも」,res\\image\\daikeiman00.png,,,
16,"ホシマンたちは挨拶をすませると別の部屋に移動した。
部屋はゴミと埃まみれだったが、掃除をする体力・気力は残っていなかった。",,,,
17,「一度休もう・・・。今日はもう無理だ」,res\\image\\hoshiman00.png,,,
18,ホシマンたちは一度、寝ることにした。,,,,
