ID,オプション1,オプション2,オプション3,,
1,ホシマンはギップ灯台に到着した。,res\\image\\hoshiman00.png,,,
2,（まずは、周囲を調べてみよう）,res\\image\\hoshiman00.png,,,
3,"ホシマンは武器を両手で握りながら、ギップ灯台の周りを調べた。
生ごみが捨てられていたり、青い雑草が山積みになっている場所があり
現在も生活している人がいる痕跡があった。",res\\image\\hoshiman00.png,,,
4,（突然、背後からやられるかもしれない）,res\\image\\hoshiman00.png,,,
5,ホシマンは神経を研ぎ澄ませて周囲を調査した。,res\\image\\hoshiman00.png,,,
6,"しかしシカクマンの手がかりはなかった。
ホシマンは灯台の入口の方に向かった。",res\\image\\hoshiman00.png,,,
7,（・・・！）,res\\image\\hoshiman00.png,,,
8,"灯台の前には血と引きずった跡があった。
血と引きずった跡は灯台の中へと続いていた。",res\\image\\hoshiman00.png,,,
9,（・・・）,res\\image\\hoshiman00.png,,,
10,"ドアの手すりにも血がついていた。
ホシマンがドアノブに手をかけるとドアは開いていた。",res\\image\\hoshiman00.png,,,
11,"（シカクマンは今頃、生きるか死ぬかの瀬戸際になっているかもしれない。
　もう・・・覚悟を決めていくしかない・・・！）",res\\image\\hoshiman00.png,,,
12,ホシマンはギップ灯台の中に入った。,res\\image\\hoshiman00.png,,,
13,（！！）,res\\image\\hoshiman00.png,,,
14,ブイエスコの生首が壁に吊るされていた。,res\\image\\hoshiman00.png,,,
15,"地面は血だらけになっており、
ブイエスコのバラバラになった体が散在していた。",res\\image\\hoshiman00.png,,,
16,"（そういえば、ビムが言っていた。
　ブイエスコはガインに殺された・・・と。
　あいつのことだ・・・快楽のために死体を弄んだのだろう）",res\\image\\hoshiman00.png,,,
17,"ギップ灯台の中に螺旋階段があった。
螺旋階段は灯台の先端まで続いているようだった。
ホシマンは螺旋階段を忍び足で登っていった。",res\\image\\hoshiman00.png,,,
18,"人の気配がないか耳を澄ませたが、
最上部からは風が建物にぶつかる音がしていて分からなかった。",res\\image\\hoshiman00.png,,,
19,ホシマンは階段を登りきり、息を殺して最上部を覗いた。,res\\image\\hoshiman00.png,,,
20,最上部には人が待機するためのスペースがあった。,res\\image\\hoshiman00.png,,,
21,（ホコリが積もっている。誰も使っていないようだ）,res\\image\\hoshiman00.png,,,
22,"ホシマンは待機スペースを見て回ったが
ホコリの積もったガラクタが置いてあるだけだった。",res\\image\\hoshiman00.png,,,
23,"（シカクマンの手がかりはなかった・・・
　良かったのか良くなかったのか・・・）",res\\image\\hoshiman00.png,,,
24,"ホシマンは見張り台から外を見渡した。
外にはプロリタン島の森と海が広がっていた。",res\\image\\hoshiman00.png,,,
25,"（美しい大自然・・・という感じはしない。
　飢餓と・・・病気と暴力の舞台だ・・・。
　ここでガインが現れるのを待つか・・・ネスに会いに行くか・・・）",res\\image\\hoshiman00.png,,,
26,（・・・）,res\\image\\hoshiman00.png,,,
27,"（今、ここで待っていたことを、後で深く後悔するかもしれない。
　ネスに会いに行こう）",res\\image\\hoshiman00.png,,,
28,"ホシマンは迷ったが、ここを立ち去り、ネスに会いに行く方を選んだ。
ブイエスコの死体の影響が大きかった。",res\\image\\hoshiman00.png,,,
