ID,Option 1,オプション2,オプション3,,
1,"Star Man arrived at CentOZ Shrine.
After searching the surroundings, he spotted the old woman.",res\\image\\hoshiman00.png,,,
2,"""Hello, long time no see.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
3,"""Hello.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
4,"""There's something I'd like to ask.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
5,"""What is it?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
6,"""Have you ever heard the term 'Red Man'?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
7,"""No.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
8,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
9,"""When a ghost and a monster fuse, a completely red human is born.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
10,"""...Huh?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
11,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
12,"""Well, anyway, that's what happens.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
13,"""But I've heard the red person dies after a week.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
14,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
15,"""If you know any way to stop them from dying within a week, please tell me.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
16,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
17,"""Sorry, but I don't know.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
18,"""I see... Even if it seems unrelated,
any bit of information you have could help—please tell me.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
19,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
20,"""Hmm. I'm afraid I don't know.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
21,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
22,"""I understand. Thank you.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
23,Star Man thanked the old woman and headed back to the sea‑cave.,res\\image\\hoshiman00.png,,,
