ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,島民の霊,-1605.902466,50.229801,-2100.695068,0.000000,0.000000,0.000000,100,
2370,島民の霊,625.000000,329.099213,-2065.972412,0.000000,0.000000,0.000000,100,
2,島民の霊,-1597.222534,52.518002,-2100.695068,0.000000,0.000000,0.000000,100,
3756,キュウ,-1406.250000,602.034424,-1579.859985,0.000000,0.000000,0.000000,100,
7206,エンバン,720.484985,930.380188,-1718.750000,0.000000,0.000000,0.000000,100,
489,島民の霊,-998.265015,143.352005,-2109.375000,0.000000,0.000000,0.000000,100,
5987,キュウ,-69.445000,326.178589,-1736.109985,0.000000,0.000000,0.000000,100,
3424,キュウ,-1475.694946,524.867004,-1666.667480,0.000000,0.000000,0.000000,100,
1006,島民の霊,-694.445007,32.194599,-2317.707520,0.000000,0.000000,0.000000,100,
2733,島民の霊,1215.277466,66.422600,-1961.805054,0.000000,0.000000,0.000000,100,
12234,ビッグリッポウタイ,-329.859985,418.722809,-1362.847534,0.000000,0.000000,0.000000,100,
6476,エンバン,138.889999,611.778992,-1631.944946,0.000000,0.000000,0.000000,100,
3,島民の霊,-1597.222534,57.716801,-2092.014893,0.000000,0.000000,0.000000,100,
5769,キュウ,-798.609985,644.896973,-1588.542480,0.000000,0.000000,0.000000,100,
28111,リッポウタイ,1718.750000,256.174408,208.332504,0.000000,0.000000,0.000000,100,
2363,島民の霊,633.679993,324.191406,-2065.972412,0.000000,0.000000,0.000000,100,
8001,エンバン,1050.347534,394.180206,-1822.917480,0.000000,0.000000,0.000000,100,
4,島民の霊,-1605.902466,55.277802,-2092.012451,0.000000,0.000000,0.000000,100,
5762,キュウ,-772.570007,653.049377,-1579.859985,0.000000,0.000000,0.000000,100,
13157,ビッグリッポウタイ,269.097504,843.468018,-1354.167480,0.000000,0.000000,0.000000,100,
483,島民の霊,-998.265015,110.835602,-2135.417480,0.000000,0.000000,0.000000,100,
13336,ビッグリッポウタイ,69.445000,542.818787,-842.015015,0.000000,0.000000,0.000000,100,
2726,島民の霊,1119.792480,98.973602,-1961.805054,0.000000,0.000000,0.000000,100,
33897,エンバン,381.945007,397.734985,1189.234985,0.000000,0.000000,0.000000,100,
27596,リッポウタイ,1647.212524,631.742981,-225.425003,0.000000,0.000000,0.000000,100,
1848,島民の霊,243.054993,124.309402,-2178.820068,0.000000,0.000000,0.000000,100,
5,島民の霊,-1657.987549,32.355999,-2109.375000,0.000000,0.000000,0.000000,100,
2883,島民の霊,911.457520,284.001587,-1953.125000,0.000000,0.000000,0.000000,100,
7625,エンバン,720.484985,1028.186768,-1406.250000,0.000000,0.000000,0.000000,100,
6,島民の霊,-1657.987549,36.500000,-2100.695068,0.000000,0.000000,0.000000,100,
4748,キュウ,-902.777527,546.195374,-1440.972534,0.000000,0.000000,0.000000,100,
31603,エンバン,1041.667480,58.830200,416.667511,0.000000,0.000000,0.000000,100,
1696,島民の霊,138.889999,24.405001,-2300.347412,0.000000,0.000000,0.000000,100,
493,島民の霊,-1006.945007,130.237198,-2118.054932,0.000000,0.000000,0.000000,100,
2721,島民の霊,1128.472534,87.243599,-1970.484985,0.000000,0.000000,0.000000,100,
7195,エンバン,616.320007,965.058777,-1710.069946,0.000000,0.000000,0.000000,100,
994,島民の霊,-642.359985,47.180199,-2291.667480,0.000000,0.000000,0.000000,100,
5476,キュウ,-468.750000,550.060425,-1657.984985,0.000000,0.000000,0.000000,100,
16013,スモールリッポウタイ,1423.609985,414.303192,-1362.847534,0.000000,0.000000,0.000000,100,
7,島民の霊,-1666.667480,34.211601,-2100.695068,0.000000,0.000000,0.000000,100,
14656,ビッグリッポウタイ,451.390015,750.873413,-1024.305054,0.000000,0.000000,0.000000,100,
2874,島民の霊,954.859985,206.469193,-1970.484985,0.000000,0.000000,0.000000,100,
35947,エンバン,-512.152527,48.094398,2387.152588,0.000000,0.000000,0.000000,100,
14286,ビッグリッポウタイ,616.320007,821.809570,-1006.945007,0.000000,0.000000,0.000000,100,
8,島民の霊,-1666.667480,30.218399,-2109.375000,0.000000,0.000000,0.000000,100,
7830,エンバン,442.707489,975.396973,-1536.457520,0.000000,0.000000,0.000000,100,
1877,島民の霊,243.054993,230.209000,-2074.652588,0.000000,0.000000,0.000000,100,
5587,キュウ,-390.625000,434.318604,-1414.930054,0.000000,0.000000,0.000000,100,
503,島民の霊,-998.265015,200.936798,-2065.972412,0.000000,0.000000,0.000000,100,
2730,島民の霊,1223.957520,63.468201,-1961.805054,0.000000,0.000000,0.000000,100,
35632,エンバン,-1354.167480,40.323799,2022.569946,0.000000,0.000000,0.000000,100,
12951,ビッグリッポウタイ,-260.417511,403.857391,-1336.805054,0.000000,0.000000,0.000000,100,
9,島民の霊,-1614.582520,78.099602,-2057.292480,0.000000,0.000000,0.000000,100,
2903,島民の霊,850.695007,328.021210,-1970.484985,0.000000,0.000000,0.000000,100,
5597,キュウ,-295.140015,487.638611,-1631.944946,0.000000,0.000000,0.000000,100,
10,島民の霊,-1614.582520,71.311798,-2065.972412,0.000000,0.000000,0.000000,100,
4752,キュウ,-946.179993,534.122375,-1397.569946,0.000000,0.000000,0.000000,100,
36046,エンバン,-321.179993,71.188004,2265.625000,0.000000,0.000000,0.000000,100,
14187,ビッグリッポウタイ,572.917480,1044.533203,-1328.125000,0.000000,0.000000,0.000000,100,
497,島民の霊,-1032.984985,134.157394,-2109.375000,0.000000,0.000000,0.000000,100,
1014,島民の霊,-755.207520,32.073200,-2309.027588,0.000000,0.000000,0.000000,100,
7528,エンバン,685.765015,1035.027832,-1414.930054,0.000000,0.000000,0.000000,100,
5167,キュウ,-460.070007,549.181824,-1684.027466,0.000000,0.000000,0.000000,100,
6837,エンバン,-26.042500,401.045410,-1519.097534,0.000000,0.000000,0.000000,100,
11,島民の霊,-1605.902466,74.195198,-2065.972412,0.000000,0.000000,0.000000,100,
2388,島民の霊,668.402527,481.803192,-1987.847534,0.000000,0.000000,0.000000,100,
13962,ビッグリッポウタイ,303.820007,856.482971,-1258.680054,0.000000,0.000000,0.000000,100,
12,島民の霊,-1605.902466,81.129799,-2057.292480,0.000000,0.000000,0.000000,100,
33904,エンバン,425.347504,224.122192,1310.765015,0.000000,0.000000,0.000000,100,
15831,スモールリッポウタイ,1519.097534,300.383209,-1206.597534,0.000000,0.000000,0.000000,100,
3913,キュウ,-1901.042480,140.955399,-1484.375000,0.000000,0.000000,0.000000,100,
5152,キュウ,-546.875000,588.520203,-1692.707520,0.000000,0.000000,0.000000,100,
6830,エンバン,-34.722500,397.171387,-1519.097534,0.000000,0.000000,0.000000,100,
491,島民の霊,-989.582520,156.511993,-2100.695068,0.000000,0.000000,0.000000,100,
4973,キュウ,-1197.917480,563.888977,-1423.612549,0.000000,0.000000,0.000000,100,
2382,島民の霊,659.722473,487.309601,-1987.847534,0.000000,0.000000,0.000000,100,
7124,エンバン,355.902496,566.833191,-1927.082520,0.000000,0.000000,0.000000,100,
13,島民の霊,-1640.625000,94.398399,-2022.569946,0.000000,0.000000,0.000000,100,
4747,キュウ,-902.777527,546.025818,-1449.652466,0.000000,0.000000,0.000000,100,
6987,エンバン,486.112488,735.930603,-1875.000000,0.000000,0.000000,0.000000,100,
14,島民の霊,-1640.625000,100.745598,-2013.887451,0.000000,0.000000,0.000000,100,
4756,キュウ,-842.015015,631.557190,-1640.625000,0.000000,0.000000,0.000000,100,
13346,ビッグリッポウタイ,182.292496,583.492798,-980.902527,0.000000,0.000000,0.000000,100,
1704,島民の霊,26.042500,98.042603,-2135.417480,0.000000,0.000000,0.000000,100,
3951,キュウ,-1684.027466,347.019196,-1397.569946,0.000000,0.000000,0.000000,100,
501,島民の霊,-1006.945007,210.924194,-2057.292480,0.000000,0.000000,0.000000,100,
